year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2007.1579,,13.02,,
2007.185,,10.72,,
2007.212,,21.97,,
2007.2393,,20.46,,
2007.2663,,8.09,,
2007.2937,,17.37,,
2007.3209,,16.08,,
2007.348,,21.12,,
2007.3749,,15.61,,
2007.4023,,4.79,,
2007.4293,,-13.17,,
2007.4564,,-1.76,,
2007.4837,,-7.34,,
2007.5107,,5.48,,
2007.5379,,1.04,,
2007.565,,2.83,,
2007.592,,6.76,,
2007.6193,,5.3,,
2007.6463,,7.74,,
2007.6738,,6.85,,
2007.7009,,9.32,,
2007.7279,,11.43,,
2007.755,,7.35,,
2007.7822,,-6.2,,
2007.8093,,5.82,,
2007.8366,,-0.1,,
2007.8637,,13.32,,
2007.8909,,20.27,,
2007.9178,,9.31,,
2007.9451,,7.15,,
2007.9722,,10.82,,
2007.9993,,22.38,,
2008.0266,,16.62,,
2008.0536,,19.91,,
2008.0809,,21.21,,
2008.108,,10.78,,
2008.135,,6.7,,
2008.1625,,0.19,,
2008.1896,,13.39,,
2008.2165,,25.06,,
2008.2438,,29.08,,
2008.271,,24.04,,
2008.298,,25.1,,
2008.3253,,10.96,,
2008.3461,,20.7,,
2008.3796,,18.95,,
2008.4067,,-3.37,,
2008.4338,,16.39,,
2008.4608,,12.69,,
2008.488,,0.32,,
2008.5151,,6.01,,
2008.5425,,13.85,,
2008.5428,,,17.26,
2008.5695,,21.16,,
2008.5696,,,21.66,
2008.5919,,16.6,,
2008.5968,,,17.12,
2008.624,,,13.58,
2008.651,,14.09,14.13,
2008.678,,,6.7,
2008.6781,,5.65,,
2008.7052,,0.11,2.41,
2008.7325,,9.73,6.78,
2008.7596,,2.42,,
2008.7597,,,0.85,
2008.7866,,20.12,,
2008.7867,,,18.8,
2008.8139,,14.52,,
2008.814,,,12.3,
2008.8411,,-3.79,,
2008.8412,,,-4.16,
2008.8682,,14.98,,
2008.8683,,,17.28,
2008.8952,,5.56,4.43,
2008.9226,,,21.7,
2008.9227,,22.24,,
2008.9496,,17.78,,
2008.9497,,,14.31,
2008.9766,,20.59,21.64,
2009.0038,,31.99,28.08,
2009.0308,,22.6,,
2009.0315,,,23.64,
2009.0583,,17.55,12.64,
2009.0852,,,19.68,
2009.1123,,,20.81,
2009.1268,,26.64,,
2009.1397,,,19.64,
2009.1533,,23.41,,
2009.1667,,,23.16,
2009.1806,,29.23,,
2009.194,,,24.65,
2009.2076,,25.96,,
2009.2211,,,31.89,
2009.2348,,38.72,,
2009.2481,,,32.12,
2009.2618,,27.9,,
2009.2753,,,26.89,
2009.2892,,27.83,,
2009.3025,,,28.64,
2009.3162,,32.21,,
2009.3298,,,31.26,
2009.3432,,26.62,,
2009.3567,,,15.69,
2009.3707,,19.06,,
2009.384,,,18.35,
2009.3976,,27.79,,
2009.4109,,,14.06,
2009.4247,,12.16,,
2009.4383,,,8.6,
2009.4521,,16.34,,
2009.4656,,,15.53,
2009.479,,23.51,,
2009.4925,,,28.87,
2009.5061,,29.1,,
2009.5197,,,27.17,
2009.5335,,23.76,,
2009.5469,,,20.6,
2009.5606,,26.96,,
2009.5741,,,32.09,
2009.5878,,40.38,,
2009.6012,,,37.16,
2009.6148,,42.91,,
2009.6284,,,35.47,
2009.6421,,37.29,,
2009.6556,,,36,
2009.669,,40.71,,
2009.6826,,,31.67,
2009.695,,40.34,,
2009.7097,,,29.94,
2009.7364,,9.62,,
2009.7371,,,48.28,
2009.7505,,52.35,,
2009.764,,,28.52,
2009.7778,,25.83,,
2009.7911,,,17.75,
2009.8049,,21.8,,
2009.8183,,,14.36,
2009.8323,,21,,
2009.8454,,,28.75,
2009.8594,,31.65,,
2009.8727,,,38.07,
2009.8863,,43.91,,
2009.8998,,,53.35,
2009.9133,,63.55,,
2009.9268,,,46.74,
2009.941,,34.48,,
2009.9539,,,15.35,
2009.9677,,21.01,,
2009.9812,,,15.86,
2009.995,,16.22,,
2010.0084,,,2.66,
2010.022,,15.69,,
2010.0354,,,11.22,
2010.0493,,19.35,,
2010.0626,,,7.84,
2010.0765,,10.32,,
2010.0899,,,20.45,
2010.1035,,34.78,,
2010.117,,,23.05,
2010.1306,,20.34,,
2010.1442,,,17.73,
2010.1578,,30.91,,
2010.1714,,,34.46,
2010.1853,,35.84,,
2010.1986,,,29.56,
2010.2121,,29.37,,
2010.2256,,,38.24,
2010.2393,,53.36,,
