year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2008.923,,,7.47,
2008.9231,,11.89,,
2008.9499,,,18.39,
2008.95,,19.83,,
2008.9775,,22.84,19.78,
2009.0045,,15.43,6.45,
2009.0312,,10.29,,
2009.0317,,,9.11,
2009.0592,,27.59,,
2009.0593,,,27.64,
2009.0856,,,20.81,
2009.1132,,,21.61,
2009.1269,,25.69,,
2009.1402,,,21.57,
2009.1537,,24.25,,
2009.1672,,,26.66,
2009.1808,,22.46,,
2009.1944,,,27.23,
2009.2077,,22.07,,
2009.2217,,,27.88,
2009.2352,,19.41,,
2009.2487,,,18.06,
2009.2623,,13.25,,
2009.2759,,,19.8,
2009.2894,,24.5,,
2009.3032,,,28.35,
2009.3165,,32.26,,
2009.3302,,,29.49,
2009.3436,,31.21,,
2009.3572,,,37.23,
2009.3709,,42.04,,
2009.3846,,,28.84,
2009.398,,32.94,,
2009.4114,,,20.83,
2009.4251,,31.37,,
2009.4388,,,34.94,
2009.4522,,32.13,,
2009.4659,,,22.86,
2009.4794,,23.76,,
2009.4933,,,29.42,
2009.5066,,35.7,,
2009.5204,,,27.9,
2009.5338,,19.92,,
2009.5474,,,19.7,
2009.5608,,13.19,,
2009.5746,,,2.63,
2009.5881,,8.17,,
2009.6017,,,18.04,
2009.6151,,20.61,,
2009.6291,,,31.23,
2009.6423,,25.6,,
2009.6563,,,22.97,
2009.6695,,24.13,,
2009.6831,,,15.75,
2009.6951,,23.16,,
2009.7102,,,18.42,
2009.7359,,29.15,,
2009.7375,,,14.82,
2009.751,,8.88,,
2009.7646,,,18.16,
2009.778,,17.63,,
2009.7916,,,18.6,
2009.8051,,18.4,,
2009.8187,,,26.59,
2009.8323,,26.92,,
2009.8461,,,18.63,
2009.8594,,9.18,,
2009.8732,,,1.6,
2009.8865,,13.15,,
2009.9005,,,16.24,
2009.9137,,12.68,,
2009.9272,,,16.89,
2009.9409,,23.61,,
2009.9545,,,16.33,
2009.9681,,14.93,,
2009.9818,,,12.73,
2009.9953,,11.91,,
2010.0091,,,3.28,
2010.0223,,-0.12,,
2010.0361,,,-11.51,
2010.0494,,2.78,,
2010.0632,,,2.86,
2010.0766,,0.39,,
2010.0898,,,-5.91,
2010.1039,,-13.09,,
2010.1174,,,-15.87,
2010.1311,,-5.26,,
2010.1445,,,-6.87,
2010.1581,,-5.12,,
2010.1719,,,-7.41,
2010.1852,,-8.5,,
2010.1989,,,-6.39,
2010.2125,,-3.25,,
2010.2261,,,0.53,
2010.2395,,8.94,,
2010.2532,,,-10.1,
2010.2666,,-4.72,,
2010.2805,,,-2.8,
2010.2939,,0.32,,
2010.3075,,,-9.55,
2010.321,,4.86,,
2010.3348,,,2.04,
2010.3482,,8.38,,
2010.3617,,,-8.52,
2010.3752,,-1.45,,
2010.3889,,,-5.46,
2010.4026,,2.09,,
2010.4162,,,6.52,
2010.4287,,11.6,,
2010.4434,,,17.12,
2010.4568,,15.62,,
2010.4705,,,13.81,
2010.4839,,1.06,,
2010.4977,,,6.46,
2010.511,,4.54,,
2010.5249,,,10.36,
2010.5384,,13.65,,
2010.5519,,,3.58,
2010.5646,,-1.38,,
2010.5791,,,-6.72,
2010.5924,,-3.42,,
2010.6061,,,6.54,
2010.6198,,4.82,,
2010.6333,,,3.76,
2010.6467,,5.98,,
2010.6605,,,16.31,
2010.6738,,18.76,,
2010.6878,,,20.94,
2010.7011,,23.36,,
2010.7147,,,23.75,
2010.7284,,24.65,,
2010.742,,,13.46,
2010.7553,,4.18,,
2010.7693,,,6.12,
2010.7827,,17.85,,
2010.7962,,,17.18,
2010.8098,,9.95,,
2010.8233,,,-5.83,
2010.8369,,-12.34,,
2010.8503,,,-12.71,
2010.8641,,8.9,,
2010.8777,,,4.55,
2010.8912,,2.68,,
2010.9049,,,-0.77,
2010.9182,,-13.39,,
2010.932,,,-9.86,
2010.9454,,-23.85,,
2010.9591,,,-13.53,
2010.9723,,-16.29,,
2010.9864,,,-15.62,
2010.9999,,-12.48,,
2011.0133,,,-3.24,
2011.0267,,5.47,,
2011.0408,,,18.36,
2011.054,,7.65,,
2011.0677,,,-8.66,
2011.0808,,-8.78,,
2011.0946,,,1.8,
2011.1077,,-3.1,,
2011.1224,,,7.7,
2011.1357,,8.56,,
2011.1492,,,13.74,
2011.1625,,13.87,,
2011.1762,,,11.72,
2011.1897,,8.82,,
2011.2035,,,-7.34,
2011.2169,,-13.14,,
2011.2306,,,-9.55,
2011.244,,-11.55,,
2011.2577,,,-7.01,
2011.271,,2.28,,
2011.2849,,,4.47,
2011.2983,,1.41,,
2011.312,,,-0.1,
2011.3255,,6.53,,
2011.3392,,,-3.22,
2011.3526,,0.55,,
2011.3663,,,-1.42,
2011.3798,,1.87,,
2011.3935,,,0.74,
2011.407,,-1.65,,
2011.4206,,,1.69,
2011.4339,,8.96,,
2011.4478,,,7.24,
2011.4611,,10.08,,
2011.475,,,14.19,
2011.4884,,14.23,,
2011.5021,,,5.89,
2011.5155,,-3.66,,
2011.5293,,,-0.44,
2011.5427,,6.98,,
2011.5563,,,6.5,
2011.5698,,-2.26,,
2011.5835,,,-4.93,
2011.5971,,-7.73,,
2011.6107,,,-6.7,
2011.6241,,-2.32,,
2011.638,,,2.68,
2011.6512,,6.27,,
2011.6651,,,0.39,
2011.6783,,0.19,,
2011.6922,,,-0.66,
2011.7056,,8.87,,
2011.7193,,,3.11,
2011.7323,,-9.48,,
2011.7464,,,-5.64,
2011.7596,,8.52,,
2011.7735,,,6.92,
2011.7871,,15.81,,
2011.8007,,,26.9,
2011.814,,19.89,,
2011.8274,,,12.91,
2011.8414,,9.22,,
2011.855,,,2.4,
2011.8685,,2.58,,
2011.8822,,,3.43,
2011.8957,,4.49,,
2011.9095,,,12.61,
2011.9224,,18.86,,
2011.936,,,27.42,
2011.9501,,29.06,,
2011.9638,,,25.55,
2011.977,,23.56,,
2011.9905,,,20.66,
2012.0043,,24.76,,
2012.0181,,,23.83,
2012.0312,,20.09,,
2012.045,,,25.45,
2012.0585,,26.37,,
2012.0722,,,19.9,
2012.0851,,22.56,,
2012.0994,,,29.69,
2012.1124,,31.49,,
2012.1265,,,26.54,
2012.1273,,44.98,,
2012.1536,,,17.85,
2012.1672,,0.69,,
2012.1808,,,25.66,
2012.2079,,,33.66,
2012.2352,,,31.74,
2012.2623,,,34.35,
2012.2893,,,32.81,
2012.3166,,,27.9,
2012.3435,,,29,
2012.3642,,40.51,,
2012.3709,,,42.34,
2012.3939,,33.45,,
2012.398,,,35.12,
2012.4234,,22.72,,
2012.425,,,29.14,
2012.4522,,,25.14,
2012.4536,,19.01,,
2012.4739,,38.08,,
2012.4794,,,34.58,
2012.4941,,32.77,,
2012.5067,,,28.75,
2012.5241,,24.04,,
2012.5339,,,26.59,
2012.5539,,26.2,,
2012.5609,,,24.75,
2012.5836,,32.14,,
2012.5879,,,32.59,
2012.6042,,25.18,,
2012.6153,,,31.89,
2012.6246,,37.62,,
2012.6423,,,47.14,
2012.6549,,43.6,,
2012.6695,,,43.66,
2012.6842,,36.48,,
2012.6966,,,33.67,
2012.7142,,38.59,,
2012.7238,,,28.24,
2012.7342,,20.47,,
2012.751,,,34.6,
2012.7549,,38.68,,
2012.778,,,37.89,
2012.7845,,31.55,,
2012.8051,,,43.96,
2012.8147,,32.78,,
2012.8324,,,38.86,
2012.835,,37.61,,
2012.8552,,31.42,,
2012.8594,,,30.19,
2012.8853,,18.72,,
2012.8866,,,18.91,
